"","date","cases","deaths","cum_cases","cum_deaths","cases_active","cases_infect","cases_symptom","p_cases","p_cases_daily","p_cases_active","p_infect","p_symptom","population"
"45","2020/06/14",69,1,4971,50,1041,1041,1871,0.000533310560439557,7.40262093549174e-06,0.00011168302020068,0.00011168302020068,0.000200729040149348,9321023
"46","2020/06/15",64,0,5035,50,1022,1022,1935,0.000540176759568129,6.86619912857205e-06,0.000109644617334385,0.000109644617334385,0.00020759523927792,9321023
"47","2020/06/16",62,0,5097,50,997,997,1534,0.000546828389973933,6.65163040580417e-06,0.000106962508299786,0.000106962508299786,0.000164574210362961,9321023
"48","2020/06/17",63,0,5160,50,871,871,1597,0.000553587304741121,6.75891476718811e-06,9.34446787654102e-05,9.34446787654102e-05,0.000171333125130149,9321023
"49","2020/06/18",61,1,5221,51,851,851,1414,0.000560131650785542,6.54434604442023e-06,9.12989915377314e-05,9.12989915377314e-05,0.000151700086996889,9321023
"50","2020/06/19",58,0,5279,51,826,826,1472,0.00056635414374581,6.22249296026842e-06,8.8616882503133e-05,8.8616882503133e-05,0.000157922579957157,9321023
"51","2020/06/20",59,0,5338,51,809,809,1408,0.000572683921067462,6.32977732165236e-06,8.6793048359606e-05,8.6793048359606e-05,0.000151056380828585,9321023
"52","2020/06/21",61,1,5399,52,790,790,1386,0.000579228267111882,6.54434604442023e-06,8.47546454933112e-05,8.47546454933112e-05,0.000148696124878138,9321023
"53","2020/06/22",58,0,5457,52,767,767,1357,0.000585450760072151,6.22249296026842e-06,8.22871051814806e-05,8.22871051814806e-05,0.000145584878398004,9321023
"54","2020/06/23",56,0,5513,52,750,750,1224,0.000591458684309651,6.00792423750054e-06,8.04632710379537e-05,8.04632710379537e-05,0.00013131605833394,9321023
"55","2020/06/24",54,0,5567,52,733,733,1197,0.000597252039824384,5.79335551473266e-06,7.86394368944267e-05,7.86394368944267e-05,0.000128419380576574,9321023
"56","2020/06/25",63,0,5630,52,728,728,1177,0.000604010954591572,6.75891476718811e-06,7.8103015087507e-05,7.8103015087507e-05,0.000126273693348895,9321023
"57","2020/06/26",61,0,5691,52,720,720,1162,0.000610555300635992,6.54434604442023e-06,7.72447401964355e-05,7.72447401964355e-05,0.000124664427928136,9321023
"58","2020/06/27",56,0,5747,52,712,712,1138,0.000616563224873493,6.00792423750054e-06,7.6386465305364e-05,7.6386465305364e-05,0.000122089603254922,9321023
"59","2020/06/28",52,0,5799,52,702,702,1109,0.000622142011665458,5.57878679196479e-06,7.53136216915246e-05,7.53136216915246e-05,0.000118978356774787,9321023
"60","2020/06/29",50,0,5849,52,689,689,1086,0.000627506229734655,5.36421806919691e-06,7.39189249935334e-05,7.39189249935334e-05,0.000116510816462957,9321023
"61","2020/06/30",51,0,5900,52,679,679,1066,0.000632977732165236,5.47150243058085e-06,7.28460813796941e-05,7.28460813796941e-05,0.000114365129235278,9321023
"62","2020/07/01",54,0,5954,52,675,675,1052,0.000638771087679968,5.79335551473266e-06,7.24169439341583e-05,7.24169439341583e-05,0.000112863148175903,9321023
"63","2020/07/02",51,0,6005,52,667,667,1034,0.000644242590110549,5.47150243058085e-06,7.15586690430868e-05,7.15586690430868e-05,0.000110932029670992,9321023
"64","2020/07/03",53,0,6058,52,659,659,1023,0.000649928661263898,5.68607115334873e-06,7.07003941520153e-05,7.07003941520153e-05,0.000109751901695769,9321023
"65","2020/07/04",50,0,6108,52,651,651,1011,0.000655292879333095,5.36421806919691e-06,6.98421192609438e-05,6.98421192609438e-05,0.000108464489359162,9321023
"66","2020/07/05",51,0,6159,52,646,646,999,0.000660764381763675,5.47150243058085e-06,6.93056974540241e-05,6.93056974540241e-05,0.000107177077022554,9321023
"67","2020/07/06",54,1,6213,53,646,646,992,0.000666557737278408,5.79335551473266e-06,6.93056974540241e-05,6.93056974540241e-05,0.000106426086492867,9321023
"68","2020/07/07",49,0,6262,53,632,632,983,0.000671814670986221,5.25693370781297e-06,6.7803716394649e-05,6.7803716394649e-05,0.000105460527240411,9321023
"69","2020/07/08",53,0,6315,53,624,624,977,0.00067750074213957,5.68607115334873e-06,6.69454415035774e-05,6.69454415035774e-05,0.000104816821072108,9321023
"70","2020/07/09",49,1,6364,54,617,617,965,0.000682757675847383,5.25693370781297e-06,6.61944509738899e-05,6.61944509738899e-05,0.0001035294087355,9321023
"71","2020/07/10",46,0,6410,54,611,611,953,0.000687692756471044,4.93508062366116e-06,6.55507448055863e-05,6.55507448055863e-05,0.000102241996398893,9321023
"72","2020/07/11",47,1,6457,55,608,608,944,0.000692735121456089,5.0423649850451e-06,6.52288917214344e-05,6.52288917214344e-05,0.000101276437146438,9321023
"73","2020/07/12",49,0,6506,55,606,606,939,0.000697992055163902,5.25693370781297e-06,6.50143229986666e-05,6.50143229986666e-05,0.000100740015339518,9321023
"74","2020/07/13",46,0,6552,55,598,598,922,0.000702927135787563,4.93508062366116e-06,6.41560481075951e-05,6.41560481075951e-05,9.8916181195991e-05,9321023
"75","2020/07/14",43,0,6595,55,590,590,904,0.000707540363327073,4.61322753950934e-06,6.32977732165236e-05,6.32977732165236e-05,9.69850626910802e-05,9321023
"76","2020/07/15",48,1,6643,56,585,585,896,0.000712690012673502,5.14964934642903e-06,6.27613514096039e-05,6.27613514096039e-05,9.61267878000087e-05,9321023
"77","2020/07/16",52,0,6695,56,587,587,896,0.000718268799465466,5.57878679196479e-06,6.29759201323717e-05,6.29759201323717e-05,9.61267878000087e-05,9321023
"78","2020/07/17",46,0,6741,56,582,582,892,0.000723203880089128,4.93508062366116e-06,6.2439498325452e-05,6.2439498325452e-05,9.56976503544729e-05,9321023
"79","2020/07/18",45,0,6786,56,573,573,886,0.000728031676351405,4.82779626227722e-06,6.14739390729966e-05,6.14739390729966e-05,9.50539441861693e-05,9321023
"80","2020/07/19",48,1,6834,57,572,572,880,0.000733181325697834,5.14964934642903e-06,6.13666547116127e-05,6.13666547116127e-05,9.44102380178656e-05,9321023
"81","2020/07/20",44,0,6878,57,563,563,873,0.000737901837598727,4.72051190089328e-06,6.04010954591572e-05,6.04010954591572e-05,9.36592474881781e-05,9321023
"82","2020/07/21",43,0,6921,57,557,557,863,0.000742515065138236,4.61322753950934e-06,5.97573892908536e-05,5.97573892908536e-05,9.25864038743387e-05,9321023
"83","2020/07/22",46,0,6967,57,557,557,859,0.000747450145761898,4.93508062366116e-06,5.97573892908536e-05,5.97573892908536e-05,9.21572664288029e-05,9321023
"84","2020/07/23",48,1,7015,58,558,558,856,0.000752599795108327,5.14964934642903e-06,5.98646736522375e-05,5.98646736522375e-05,9.18354133446511e-05,9321023
"85","2020/07/24",45,0,7060,58,554,554,847,0.000757427591370604,4.82779626227722e-06,5.94355362067018e-05,5.94355362067018e-05,9.08698540921957e-05,9321023
"86","2020/07/25",44,0,7104,58,552,552,842,0.000762148103271497,4.72051190089328e-06,5.92209674839339e-05,5.92209674839339e-05,9.0333432285276e-05,9321023
"87","2020/07/26",46,1,7150,59,555,555,835,0.000767083183895158,4.93508062366116e-06,5.95428205680857e-05,5.95428205680857e-05,8.95824417555884e-05,9321023
"88","2020/07/27",42,0,7192,59,549,549,828,0.000771589127073284,4.5059431781254e-06,5.88991143997821e-05,5.88991143997821e-05,8.88314512259008e-05,9321023
"89","2020/07/28",43,1,7235,60,540,540,825,0.000776202354612793,4.61322753950934e-06,5.79335551473266e-05,5.79335551473266e-05,8.8509598141749e-05,9321023
"90","2020/07/29",41,0,7276,60,535,535,819,0.000780601013429535,4.39865881674147e-06,5.73971333404069e-05,5.73971333404069e-05,8.78658919734454e-05,9321023
"91","2020/07/30",44,0,7320,60,534,534,814,0.000785321525330428,4.72051190089328e-06,5.7289848979023e-05,5.7289848979023e-05,8.73294701665257e-05,9321023
"92","2020/07/31",46,0,7366,60,532,532,814,0.000790256605954089,4.93508062366116e-06,5.70752802562551e-05,5.70752802562551e-05,8.73294701665257e-05,9321023
"93","2020/08/01",43,0,7409,60,531,531,814,0.000794869833493598,4.61322753950934e-06,5.69679958948712e-05,5.69679958948712e-05,8.73294701665257e-05,9321023
"94","2020/08/02",42,0,7451,60,530,530,808,0.000799375776671724,4.5059431781254e-06,5.68607115334873e-05,5.68607115334873e-05,8.66857639982221e-05,9321023
"95","2020/08/03",44,1,7495,61,528,528,800,0.000804096288572617,4.72051190089328e-06,5.66461428107194e-05,5.66461428107194e-05,8.58274891071506e-05,9321023
"96","2020/08/04",43,0,7538,61,523,523,797,0.000808709516112126,4.61322753950934e-06,5.61097210037997e-05,5.61097210037997e-05,8.55056360229988e-05,9321023
"97","2020/08/05",45,0,7583,61,523,523,797,0.000813537312374403,4.82779626227722e-06,5.61097210037997e-05,5.61097210037997e-05,8.55056360229988e-05,9321023
"98","2020/08/06",42,0,7625,61,521,521,791,0.000818043255552529,4.5059431781254e-06,5.58951522810318e-05,5.58951522810318e-05,8.48619298546951e-05,9321023
"99","2020/08/07",40,1,7665,62,515,515,787,0.000822334630007886,4.29137445535753e-06,5.52514461127282e-05,5.52514461127282e-05,8.44327924091594e-05,9321023
"100","2020/08/08",41,0,7706,62,514,514,785,0.000826733288824628,4.39865881674147e-06,5.51441617513442e-05,5.51441617513442e-05,8.42182236863915e-05,9321023
"101","2020/08/09",0,0,7706,62,471,471,739,0.000826733288824628,0,5.05309342118349e-05,5.05309342118349e-05,7.92831430627303e-05,9321023
"102","2020/08/10",39,0,7745,62,469,469,730,0.000830917378918601,4.18409009397359e-06,5.0316365489067e-05,5.0316365489067e-05,7.83175838102749e-05,9321023
"103","2020/08/11",82,0,7827,62,507,507,767,0.000839714696552084,8.79731763348293e-06,5.43931712216567e-05,5.43931712216567e-05,8.22871051814806e-05,9321023
"104","2020/08/12",44,1,7871,63,505,505,767,0.000844435208452978,4.72051190089328e-06,5.41786024988888e-05,5.41786024988888e-05,8.22871051814806e-05,9321023
"105","2020/08/13",41,0,7912,63,503,503,762,0.000848833867269719,4.39865881674147e-06,5.39640337761209e-05,5.39640337761209e-05,8.17506833745609e-05,9321023
"106","2020/08/14",38,0,7950,63,499,499,758,0.000852910673002309,4.07680573258965e-06,5.35348963305852e-05,5.35348963305852e-05,8.13215459290252e-05,9321023
"107","2020/08/15",39,0,7989,63,494,494,754,0.000857094763096282,4.18409009397359e-06,5.29984745236655e-05,5.29984745236655e-05,8.08924084834894e-05,9321023
"108","2020/08/16",40,1,8029,64,491,491,753,0.00086138613755164,4.29137445535753e-06,5.26766214395137e-05,5.26766214395137e-05,8.07851241221055e-05,9321023
"109","2020/08/17",36,0,8065,64,482,482,745,0.000865248374561462,3.86223700982178e-06,5.17110621870582e-05,5.17110621870582e-05,7.9926849231034e-05,9321023
"110","2020/08/18",34,0,8099,64,474,474,733,0.000868896042848516,3.6476682870539e-06,5.08527872959867e-05,5.08527872959867e-05,7.86394368944267e-05,9321023
"111","2020/08/19",32,1,8131,65,466,466,722,0.000872329142412802,3.43309956428602e-06,4.99945124049152e-05,4.99945124049152e-05,7.74593089192034e-05,9321023
"112","2020/08/20",35,0,8166,65,460,460,715,0.00087608409506124,3.75495264843784e-06,4.93508062366116e-05,4.93508062366116e-05,7.67083183895158e-05,9321023
"113","2020/08/21",37,1,8203,66,497,497,708,0.000880053616432445,3.96952137120571e-06,5.33203276078173e-05,5.33203276078173e-05,7.59573278598283e-05,9321023
"114","2020/08/22",38,0,8241,66,496,496,703,0.000884130422165035,4.07680573258965e-06,5.32130432464334e-05,5.32130432464334e-05,7.54209060529086e-05,9321023
