"","date","cases","deaths","cum_cases","cum_deaths","cases_active","cases_infect","cases_symptom","p_cases","p_cases_daily","p_cases_active","p_infect","p_symptom","population"
"88","2020/06/01",0,0,1473,108,5,5,9,0.000707864067032276,0,2.40279724043543e-06,2.40279724043543e-06,4.32503503278377e-06,2080908
"89","2020/06/02",2,0,1475,108,7,7,10,0.00070882518592845,9.6111889617417e-07,3.3639161366096e-06,3.3639161366096e-06,4.80559448087085e-06,2080908
"90","2020/06/03",0,0,1475,108,7,7,10,0.00070882518592845,0,3.3639161366096e-06,3.3639161366096e-06,4.80559448087085e-06,2080908
"91","2020/06/04",2,0,1477,108,9,9,11,0.000709786304824625,9.6111889617417e-07,4.32503503278377e-06,4.32503503278377e-06,5.28615392895794e-06,2080908
"92","2020/06/05",2,0,1479,108,11,11,13,0.000710747423720799,9.6111889617417e-07,5.28615392895794e-06,5.28615392895794e-06,6.24727282513211e-06,2080908
"93","2020/06/06",5,0,1484,108,15,15,17,0.000713150220961234,2.40279724043543e-06,7.20839172130628e-06,7.20839172130628e-06,8.16951061748045e-06,2080908
"94","2020/06/07",1,0,1485,108,16,16,17,0.000713630780409321,4.80559448087085e-07,7.68895116939336e-06,7.68895116939336e-06,8.16951061748045e-06,2080908
"95","2020/06/08",0,0,1485,108,16,16,17,0.000713630780409321,0,7.68895116939336e-06,7.68895116939336e-06,8.16951061748045e-06,2080908
"96","2020/06/09",0,0,1485,108,14,14,17,0.000713630780409321,0,6.72783227321919e-06,6.72783227321919e-06,8.16951061748045e-06,2080908
"97","2020/06/10",1,0,1486,108,13,13,18,0.000714111339857408,4.80559448087085e-07,6.24727282513211e-06,6.24727282513211e-06,8.65007006556753e-06,2080908
"98","2020/06/11",2,1,1488,109,15,15,20,0.000715072458753583,9.6111889617417e-07,7.20839172130628e-06,7.20839172130628e-06,9.6111889617417e-06,2080908
"99","2020/06/12",0,0,1488,109,15,15,19,0.000715072458753583,0,7.20839172130628e-06,7.20839172130628e-06,9.13062951365462e-06,2080908
"100","2020/06/13",2,0,1490,109,17,17,21,0.000716033577649757,9.6111889617417e-07,8.16951061748045e-06,8.16951061748045e-06,1.00917484098288e-05,2080908
"101","2020/06/14",2,0,1492,109,17,17,23,0.000716994696545931,9.6111889617417e-07,8.16951061748045e-06,8.16951061748045e-06,1.1052867306003e-05,2080908
"102","2020/06/15",3,0,1495,109,20,20,24,0.000718436374890192,1.44167834426126e-06,9.6111889617417e-06,9.6111889617417e-06,1.153342675409e-05,2080908
"103","2020/06/16",1,0,1496,109,19,19,23,0.000718916934338279,4.80559448087085e-07,9.13062951365462e-06,9.13062951365462e-06,1.1052867306003e-05,2080908
"104","2020/06/17",3,0,1499,109,20,20,26,0.00072035861268254,1.44167834426126e-06,9.6111889617417e-06,9.6111889617417e-06,1.24945456502642e-05,2080908
"105","2020/06/18",4,0,1503,109,19,19,30,0.000722280850474889,1.92223779234834e-06,9.13062951365462e-06,9.13062951365462e-06,1.44167834426126e-05,2080908
