"","X","date","p_cases_infected","p_cases_infected_error","p_fatalities","p_recovered","p_cases_recent","p_cases_daily","p_cases_active","p_cases_infected_smooth","p_cases_infected_smooth_low","p_cases_infected_smooth_high"
"116",116,"2020/08/09",0.055500066003389,0.011423454262533,0.00347295202187405,0.175198103987924,0.00813717427058658,0.00116245346722665,0.015130065243059,0.052131356734227,0.040707902471694,0.06355481099676
"117",117,"2020/08/10",0.0556802656773273,0.0114279880194655,0.00349107769170692,0.175170614315582,0.00814546906864569,0.00116363843837796,0.0151365167526606,0.0521675655204781,0.0407395775010126,0.0635955535399436
"118",118,"2020/08/11",0.0522550179419342,0.0113325790892297,0.00350220677723537,0.171890561977274,0.00772527996851364,0.00110361142407338,0.0149762107157704,0.0522027636827286,0.0408701845934989,0.0635353427719583
"119",119,"2020/08/12",0.0521218895456036,0.0113060912915726,0.00349882129838446,0.171568987621121,0.0075561070054619,0.00107944385792313,0.0148938866394184,0.0522370107923296,0.040930919500757,0.0635431020839022
"120",120,"2020/08/13",0.0522418070630712,0.011327032846559,0.00351346165763158,0.171652373679689,0.00756258716447292,0.0010803695949247,0.0148989267630937,0.0522703666365793,0.0409433337900203,0.0635973994831383
"121",121,"2020/08/14",0.0522418070630712,0.011327032846559,0.00351346165763158,0.171652373679689,0.00756258716447292,0.0010803695949247,0.0148989267630937,0.052302891208017,0.040975858361458,0.063629924054576
"122",122,"2020/08/15",0.0522418070630712,0.011327032846559,0.00351346165763158,0.171652373679689,0.00756258716447292,0.0010803695949247,0.0148989267630937,0.0523346445066635,0.0410076116601045,0.0636616773532225
"123",123,"2020/08/16",0.0522418070630712,0.011327032846559,0.00351346165763158,0.171652373679689,0.00756258716447292,0.0010803695949247,0.0148989267630937,0.0523656775633639,0.0410386447168049,0.0636927104099229
"124",124,"2020/08/17",0.0525925413311856,0.011325779033504,0.00351971068883604,0.171583748492967,0.00754802862982442,0.00107828980426063,0.0149551333447731,0.0523960284663511,0.0410702494328471,0.0637218074998551
"125",125,"2020/08/18",0.0548154594378125,0.0111815160048831,0.0037001089580592,0.168563075205263,0.00690985484685333,0.000987122120979047,0.0143180981326927,0.0524257344149336,0.0412442184100505,0.0636072504198167
"126",126,"2020/08/19",0.0514595794459304,0.0120326139860148,0.004059338721473,0.175740603866333,0.00612832498214504,0.000875474997449291,0.0135398563933678,0.0524548327202451,0.0404222187342303,0.0644874467062599
"127",127,"2020/08/20",0.0515889761865806,0.0118492477788397,0.00405009072072589,0.175690350976738,0.00608875250713271,0.000869821786733244,0.0134880034701818,0.0524833608007232,0.0406341130218835,0.0643326085795629
"128",128,"2020/08/21",0.0539520556711861,0.0119942659829939,0.0041464771021354,0.258611390747246,0.00688629372475218,0.000983756246393169,0.0148844325214267,0.0525113561778521,0.0405170901948582,0.064505622160846
"129",129,"2020/08/22",0.053869404122719,0.0119645801053629,0.00416926881620368,0.258606968851501,0.0068831352277915,0.000983305032541643,0.0148781155275054,0.0525388564721714,0.0405742763668085,0.0645034365775343
"130",130,"2020/08/23",0.0538614601805673,0.0119412861225515,0.00416904712479479,0.258606710211524,0.00688295048495076,0.000983278640707252,0.0148777460418239,0.0525658993995536,0.0406246132770021,0.0645071855221051
"131",131,"2020/08/24",0.0539164374842383,0.011920257858228,0.00417510617058205,0.258528634030457,0.00687607020845829,0.00098229574406547,0.0148717631927,0.0525925227677512,0.0406722649095232,0.0645127806259791
"132",132,"2020/08/25",0.0541837626476966,0.0118392696464809,0.00433609513251298,0.258469517544756,0.00687441364647883,0.000982059092354119,0.0149194570115284,0.052618764463261,0.0407794948167801,0.0644580341097419
"133",133,"2020/08/26",0.054004619514929,0.0118142491089352,0.00433109578927295,0.258463684977643,0.00687024752711215,0.000981463932444592,0.014911124772795,0.0526446597637292,0.040830410654794,0.0644589088726644
"134",134,"2020/08/27",0.054004619514929,0.0118142491089352,0.00433109578927295,0.258463684977643,0.00687024752711215,0.000981463932444592,0.014911124772795,0.0526702376939344,0.0408559885849992,0.0644844868028696
"135",135,"2020/08/28",0.0539963258323597,0.0117943370174381,0.00433109578927295,0.258456773575502,0.00687024752711215,0.000981463932444592,0.014911124772795,0.0526955264339496,0.0409011894165115,0.0644898634513877
"136",136,"2020/08/29",0.0539963258323597,0.0117943370174381,0.00433109578927295,0.258456773575502,0.00687024752711215,0.000981463932444592,0.014911124772795,0.0527205542239419,0.0409262172065038,0.06451489124138
"137",137,"2020/08/30",0.0535999443806173,0.011764025028702,0.0043193344043913,0.25829282719666,0.0067743693381122,0.000967767048301743,0.0147726124154191,0.0527453493626873,0.0409813243339853,0.0645093743913893
"138",138,"2020/08/31",0.0535999443806173,0.011764025028702,0.0043193344043913,0.25829282719666,0.0067743693381122,0.000967767048301743,0.0147726124154191,0.0527699402062376,0.0410059151775356,0.0645339652349396
"139",139,"2020/09/01",0.0535282884284415,0.0117145615124926,0.00432453232984281,0.258246579776531,0.00676307393943491,0.000966153419919273,0.0148254933130873,0.0527943551667393,0.0410797936542467,0.0645089166792319
"140",140,"2020/09/02",0.0537249767844299,0.0116348624255834,0.00434739455446855,0.257965215761186,0.00673720138629973,0.000962457340899961,0.0147974647138576,0.0528186227114049,0.0411837602858215,0.0644534851369883
"141",141,"2020/09/03",0.0537167656260652,0.0116158218024934,0.00434739455446855,0.257958373129216,0.00673720138629973,0.000962457340899961,0.0147974647138576,0.0528427713616383,0.0412269495591449,0.0644585931641317
"142",142,"2020/09/04",0.0537167656260652,0.0116158218024934,0.00434739455446855,0.257958373129216,0.00673720138629973,0.000962457340899961,0.0147974647138576,0.0528668296923124,0.041251007889819,0.0644826514948058
"143",143,"2020/09/05",0.0537167656260652,0.0116158218024934,0.00434739455446855,0.257958373129216,0.00673720138629973,0.000962457340899961,0.0147974647138576,0.0528908265818243,0.0412750047793309,0.0645066483843177
"144",144,"2020/09/06",0.0537167656260652,0.0116158218024934,0.00434739455446855,0.257958373129216,0.00673720138629973,0.000962457340899961,0.0147974647138576,0.0529147919644527,0.0412989701619593,0.0645306137669461
"145",145,"2020/09/07",0.0537167656260652,0.0116158218024934,0.00434739455446855,0.257958373129216,0.00673720138629973,0.000962457340899961,0.0147974647138576,0.0529387560798288,0.0413229342773354,0.0645545778823222
"146",146,"2020/09/08",0.0537547505571967,0.0115969480831407,0.00433918107406618,0.257926847858848,0.0067343025108636,0.000962043215837657,0.0148171674039051,0.0529627492224485,0.0413658011393078,0.0645596973055892
"147",147,"2020/09/09",0.0537547505571967,0.0115969480831407,0.00433918107406618,0.257926847858848,0.0067343025108636,0.000962043215837657,0.0148171674039051,0.052986801741752,0.0413898536586113,0.0645837498248927
"148",148,"2020/09/10",0.0533375263351519,0.0115227177267646,0.00433933119719701,0.257899673891461,0.00671973173640091,0.000959961676628701,0.0147880258549798,0.053010944042377,0.0414882263156124,0.0645336617691416
"149",149,"2020/09/11",0.0533080803154173,0.0114962044473772,0.004336294742468,0.257897016993573,0.0067581732532702,0.000965453321895743,0.0148245695876434,0.053035206584586,0.0415390021372088,0.0645314110319632
"150",150,"2020/09/12",0.0533080803154173,0.0114962044473772,0.004336294742468,0.257897016993573,0.0067581732532702,0.000965453321895743,0.0148245695876434,0.053059619884869,0.0415634154374918,0.0645558243322462
"151",151,"2020/09/13",0.0533080803154173,0.0114962044473772,0.004336294742468,0.257897016993573,0.0067581732532702,0.000965453321895743,0.0148245695876434,0.05308421451672,0.0415880100693428,0.0645804189640972
"152",152,"2020/09/14",0.0533080803154173,0.0114962044473772,0.004336294742468,0.257897016993573,0.0067581732532702,0.000965453321895743,0.0148245695876434,0.0531090211115914,0.0416128166642142,0.0646052255589686
"153",153,"2020/09/15",0.0533456677483159,0.0114777989195634,0.00432816721309537,0.257865821623481,0.00675530471349163,0.000965043530498804,0.0148213424803925,0.0531340718592266,0.0416562729396632,0.06461187077879
