"date","population","total_responses","pct_cli","pct_cli_smooth","pct_cli_smooth_low","pct_cli_smooth_high","number_cli","batched_pct_cli","batched_pct_cli_smooth","batched_pct_cli_smooth_low","batched_pct_cli_smooth_high","estimate_cli","cum_estimate_cli","number_cli_smooth","cum_number_cli_smooth","b_size_denom","p_symptom","p_symptom_high","p_symptom_low"
2020-06-25,43993643,3115,0.9631,0.831406676599709,0.738324144028916,0.924489209170502,30.000565,NA,0.796480515886658,0.745445455390417,0.8475155763829,350400.794723735,25233411.7794393,365766.085181441,25575378.2654012,1000,0.796480515886658,0.8475155763829,0.745445455390417
2020-06-26,43993643,2971,0.7742,0.837869886756996,0.744569822625203,0.931169950888789,23.001482,NA,0.804861924839394,0.754323879115268,0.85539997056352,354088.081856771,25587499.8612961,368609.486784377,25943987.7521856,1000,0.804861924839394,0.85539997056352,0.754323879115268
2020-06-27,43993643,2862,0.8386,0.844798054650758,0.751221899546732,0.938374209754783,24.000732,NA,0.813970122716453,0.763877812773044,0.864062432659861,358095.109914538,25945594.9712106,371657.440233999,26315645.1924196,1000,0.813970122716453,0.864062432659861,0.763877812773044
2020-06-28,43993643,2936,0.9196,0.852195394264997,0.758305341541258,0.946085446988736,26.999456,NA,0.823789458257538,0.774050710643623,0.873528205871453,362414.993337455,26308009.9645481,374911.799415385,26690556.991835,1000,0.823789458257538,0.873528205871453,0.774050710643623
2020-06-29,43993643,3056,0.9817,0.860066675236786,0.765860563507274,0.954272786966299,30.000752,NA,0.834304356501883,0.78478835747138,0.883820355532386,367040.880132886,26675050.844681,378374.662665641,27068931.6545006,1000,0.834304356501883,0.883820355532386,0.78478835747138
2020-06-30,43993643,3090,0.9385,0.868417196056704,0.77393329950624,0.962901092607169,28.99965,NA,0.84549907758023,0.796040978955049,0.894957176205411,371965.84575894,27047016.6904399,382048.360983797,27450980.0154844,1000,0.84549907758023,0.894957176205411,0.796040978955049
2020-07-01,43993643,2948,0.7802,0.877252356987738,0.78253222445935,0.971972489516126,23.000296,NA,0.857357479287356,0.807765560292435,0.906949398282277,377182.788671478,27424199.4791114,385935.270142271,27836915.2856267,1000,0.857357479287356,0.906949398282277,0.807765560292435
2020-07-02,43993643,2508,0.6778,0.886577635883455,0.791625863650324,0.981529408116586,16.999224,NA,0.869862782722095,0.819928068543752,0.919797496900437,382684.327220624,27806883.806332,390037.800048407,28226953.0856751,1000,0.869862782722095,0.919797496900437,0.819928068543752
2020-07-03,43993643,2281,1.0083,0.896398980604363,0.801182881135102,0.991615080073623,22.999323,NA,0.88299734051839,0.832505218634963,0.933489462401816,388462.697687155,28195346.5040192,394358.567382722,28621311.6530578,1000,0.88299734051839,0.933489462401816,0.832505218634963
2020-07-04,43993643,2268,1.1905,0.906722817352623,0.81118420331959,1.00226143138566,27.00054,0.86590691132469,0.896742407424369,0.845485466531579,0.947999348317159,394509.653351882,28589856.1573711,398900.399265655,29020212.0523235,1000,0.896742407424369,0.947999348317159,0.845485466531579
2020-07-05,43993643,2433,0.8631,0.917556041320202,0.821630214943542,1.01348186769686,20.999223,NA,0.911077913218862,0.858869057027504,0.963286769410221,400816.364593356,28990672.5219644,403666.329143342,29423878.3814668,1000,0.911077913218862,0.963286769410221,0.858869057027504
