"","date","p_cases_infected","p_cases_recent","p_cases_active","p_cases_daily","p_cases_infected_smooth","p_cases_infected_smooth_low","p_cases_infected_smooth_high"
"68",2020-06-13,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"69",2020-06-14,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"70",2020-06-15,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"71",2020-06-16,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"72",2020-06-17,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"73",2020-06-18,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"74",2020-06-19,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"75",2020-06-20,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"76",2020-06-21,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"77",2020-06-22,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"78",2020-06-23,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"79",2020-06-24,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"80",2020-06-25,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"81",2020-06-26,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"82",2020-06-27,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"83",2020-06-28,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"84",2020-06-29,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"85",2020-06-30,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"86",2020-07-01,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"87",2020-07-02,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"88",2020-07-03,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"89",2020-07-04,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"90",2020-07-05,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
