"","date","ccaa","reg_code","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"88",2020-04-27,"Canarias","ESCN",3,1,2315,138,14.3687839330605,812.170128364124,633.170128364124,0.00514905184417601,0.00507154326276212,0.00522774499207816,3.19592282544673e-05,0.000377159040175335,0.000294034254082344,2153389
"89",2020-04-28,"Canarias","ESCN",4,1,2319,139,19.1595964133977,769.603262091602,600.603262091602,0.00515827656808283,0.00508111525222374,0.00523660964808612,4.26177219634123e-05,0.000357391656635936,0.000278910713341436,2153389
"90",2020-04-29,"Canarias","ESCN",4,1,2323,140,19.1700546155559,727.220403332123,568.220403332123,0.00516999446824706,0.00509314033382999,0.00524800831113274,4.26642601456814e-05,0.000337709723292969,0.00026387262279696,2153389
"91",2020-04-30,"Canarias","ESCN",4,1,2327,141,19.1887167630104,711.95945068295,556.95945068295,0.00518393842305376,0.00510735606141979,0.00526166910057622,4.27473683355675e-05,0.000330622776787171,0.000258643213410559,2153389
"92",2020-05-01,"Canarias","ESCN",9,2,2336,143,43.5372655772166,698.980938003374,547.980938003374,0.00524769986020371,0.00517115276424949,0.00532538006093479,9.78041534602788e-05,0.000324595759522954,0.000254473733265738,2153389
"93",2020-05-02,"Canarias","ESCN",5,1,2341,144,24.2258463973674,666.634363210121,523.634363210121,0.00526729786547967,0.00519093540247601,0.00534478367626246,5.45086497301544e-05,0.000309574518682004,0.000243167566663581,2153389
"94",2020-05-03,"Canarias","ESCN",0,1,2341,145,0,598.84992643416,470.84992643416,0.00527677106349757,0.00520073395282758,0.00535391987152633,0,0.000278096491824821,0.000218655304004135,2153389
"95",2020-05-04,"Canarias","ESCN",3,0,2344,145,14.491137493145,544.823037463595,428.823037463595,0.00525794863877851,0.00518216180744911,0.00533484381909744,3.25058262186151e-05,0.000253007253897738,0.000199138677435241,2153389
"96",2020-05-05,"Canarias","ESCN",2,1,2346,146,9.68325457728922,517.556515670762,407.556515670762,0.00527468916167039,0.00519912154407818,0.00535135513112458,2.17715933369662e-05,0.000240345109810983,0.00018926283902758,2153389
"97",2020-05-06,"Canarias","ESCN",0,4,2346,150,0,476.198282640497,375.198282640497,0.00539622794440915,0.00532080244913647,0.00547272264031303,0,0.000221138996549391,0.000174236184284631,2153389
"98",2020-05-07,"Canarias","ESCN",1,0,2347,150,4.93366960292039,412.495410720909,325.495410720909,0.00537725536726256,0.00530207627770361,0.00545350043460284,1.13036222209646e-05,0.000191556384248693,0.00015115495190182,2153389
"99",2020-05-08,"Canarias","ESCN",1,1,2348,151,4.94848969397666,344.49193253034,272.49193253034,0.00539570593211779,0.00532071266421461,0.00547175619944674,1.13716333887622e-05,0.000159976638001931,0.000126540969852795,2153389
"100",2020-05-09,"Canarias","ESCN",2,0,2350,151,9.86377302536737,322.022143867291,255.022143867291,0.00538218283125188,0.00530736310111448,0.00545805732095843,2.2590906309999e-05,0.000149542021375279,0.000118428274625388,2153389
"101",2020-05-10,"Canarias","ESCN",1,0,2351,151,4.91658276345287,294.183492252238,233.183492252238,0.00536776498666878,0.00529313139647943,0.00544345091664857,1.12254618510087e-05,0.000136614189193053,0.000108286748122257,2153389
"102",2020-05-11,"Canarias","ESCN",3,1,2354,152,14.80463144934,285.285371360134,226.285371360134,0.00539461324014478,0.00532004636955223,0.00547022525542287,3.39274684928095e-05,0.000132482041730562,0.000105083369219465,2153389
"103",2020-05-12,"Canarias","ESCN",4,0,2358,152,19.6863508554522,251.746752453258,199.746752453258,0.00538922778433859,0.00531472320328708,0.00546477680973561,4.49933117058697e-05,0.000116907234342359,9.27592517902051e-05,2153389
"104",2020-05-13,"Canarias","ESCN",5,0,2363,152,24.5450954407145,257.106743882677,204.106743882677,0.00538686326775222,0.0053123792941024,0.00546239156862786,5.59547494850012e-05,0.000119396330102307,9.47839632703042e-05,2153389
"105",2020-05-14,"Canarias","ESCN",2,0,2365,152,9.79381129447183,257.317059895739,204.317059895738,0.00537811879586686,0.00530374572872433,0.00545353477747005,2.2271577423244e-05,0.000119493997552573,9.48816307205704e-05,2153389
"106",2020-05-15,"Canarias","ESCN",3,0,2368,152,14.6553931436739,257.603669106352,204.603669106352,0.0053719928547079,0.00529769256987224,0.00544733520309365,3.32469033998105e-05,0.000119627094364442,9.50147275324393e-05,2153389
"107",2020-05-16,"Canarias","ESCN",6,2,2374,154,29.6272016995729,268.071274392527,213.071274392527,0.00544374292760436,0.00536933933251774,0.00551917754245318,6.79371818520464e-05,0.000124488085707007,9.89469503153063e-05,2153389
"108",2020-05-17,"Canarias","ESCN",1,2,2375,156,4.99058397318097,253.891803750152,201.891803750152,0.00550417826797889,0.00542982447531004,0.00557955023103417,1.1565921620929e-05,0.000117903362444107,9.37553798919527e-05,2153389
"109",2020-05-18,"Canarias","ESCN",4,1,2379,157,20.0452418855419,254.748328872684,202.748328872684,0.00553634648055972,0.00546198309312587,0.00561172230492286,4.66487618179857e-05,0.000118301119246306,9.41531366941522e-05,2153389
"110",2020-05-19,"Canarias","ESCN",7,0,2386,157,35.0025237838342,246.213587079301,196.213587079301,0.00554050394505911,0.00546607464596147,0.00561594671743018,8.12789694515334e-05,0.000114337719324888,9.11185053324324e-05,2153389
"111",2020-05-20,"Canarias","ESCN",4,0,2390,157,19.9582231342396,241.945963816174,192.945963816174,0.0055378003336639,0.00546339733319803,0.00561321658763133,4.62446254109334e-05,0.000112355902169173,8.96010724565666e-05,2153389
"112",2020-05-21,"Canarias","ESCN",5,0,2395,157,24.8936212043763,266.83958502055,212.83958502055,0.005537338844443,0.00546293206757705,0.00561275906397583,5.75550796132956e-05,0.000123916108525004,9.8839357413152e-05,2153389
"113",2020-05-22,"Canarias","ESCN",3,0,2398,157,14.9036242291016,267.252071756507,213.252071756507,0.00553219303794867,0.00545784548217922,0.00560755336681089,3.43827048375476e-05,0.000124107660880829,9.90309097689765e-05,2153389
"114",2020-05-23,"Canarias","ESCN",1,0,2399,157,4.95706212463497,262.525879303852,209.525879303852,0.0055224541580733,0.00544822761931525,0.00559769195763779,1.14110664201826e-05,0.000121912891402274,9.73005245702715e-05,2153389
"115",2020-05-24,"Canarias","ESCN",2,0,2401,157,9.89296272819555,272.418842032048,217.418842032048,0.00551526071471469,0.00544112105258221,0.00559041058953091,2.2724809948752e-05,0.000126507027774382,0.00010096589238268,2153389
"116",2020-05-25,"Canarias","ESCN",4,1,2405,158,19.8710299283463,287.356202357474,229.356202357474,0.00554821109628507,0.00547405117309826,0.00562337570394287,4.58414423048082e-05,0.000133443703091951,0.000106509414860703,2153389
"117",2020-05-26,"Canarias","ESCN",3,1,2408,159,14.9679214626125,297.37563412611,237.37563412611,0.00557922958988072,0.00550507666976088,0.0056543813436031,3.46800125926987e-05,0.000138096569698327,0.00011023351290738,2153389
"118",2020-05-27,"Canarias","ESCN",2,1,2410,160,10.0220619220856,297.533923022828,237.533923022828,0.0056081760499906,0.00553405489764464,0.00568328995454569,2.33217791049641e-05,0.000138170076573637,0.00011030701978269,2153389
"119",2020-05-28,"Canarias","ESCN",7,0,2417,160,35.0116861863776,327.629026445753,261.629026445753,0.00561395784654359,0.00553975241386482,0.00568915726700876,8.13215268459811e-05,0.000152145769503677,0.000121496407033635,2153389
"120",2020-05-29,"Canarias","ESCN",7,0,2424,160,34.9473896656376,347.77178466205,277.77178466205,0.00561987722273426,0.00554558570154354,0.00569516399139168,8.10231184719206e-05,0.000161499749772127,0.000128992850182689,2153389
"121",2020-05-30,"Canarias","ESCN",3,0,2427,160,14.949489915473,343.034923722071,274.034923722071,0.00561632725978338,0.00554207290305421,0.00569157649867843,3.45946550194181e-05,0.000159300026015769,0.00012725751070618,2153389
"122",2020-05-31,"Canarias","ESCN",1,0,2428,160,4.97363741635096,323.463465697707,258.463465697707,0.00560790068440961,0.00553374996699401,0.0056830450009083,1.14875060424876e-05,0.000150211348575528,0.000120026370385336,2153389
"123",2020-06-01,"Canarias","ESCN",4,0,2432,160,19.8566067779619,333.526261181197,266.526261181197,0.00560642639160914,0.00553228549531068,0.00568156088675722,4.57749195262213e-05,0.000154884352609397,0.000123770605859507,2153389
"124",2020-06-02,"Canarias","ESCN",4,1,2436,161,19.9433986688185,338.814266706342,270.814266706342,0.00564019310459488,0.00556602139837474,0.00571535320838124,4.61759522389396e-05,0.00015734001924703,0.00012576188821729,2153389
"125",2020-06-03,"Canarias","ESCN",4,0,2440,161,19.9067726161054,329.093837622875,263.093837622875,0.00563907928192459,0.0055649125668226,0.00571423445849168,4.60065037005999e-05,0.000152826004787279,0.000122176642317238,2153389
"126",2020-06-04,"Canarias","ESCN",1,0,2441,161,4.96764898067981,329.070902630373,263.070902630373,0.00563113824851869,0.00555706829106748,0.00570619548168967,1.1459859967358e-05,0.000152815354137303,0.000122165991667262,2153389
"127",2020-06-05,"Canarias","ESCN",1,0,2442,161,4.95877645706484,313.984437201896,250.984437201896,0.00562338347049805,0.00554940786791342,0.00569834519446861,1.14189605088261e-05,0.000145809436753831,0.000116553227123337,2153389
"128",2020-06-06,"Canarias","ESCN",4,0,2446,161,19.8010076104334,298.782921028496,238.782921028496,0.0056229116772585,0.00554893465867401,0.00569787493907981,4.55189357784915e-05,0.000138750091613032,0.000110887034822085,2153389
"129",2020-06-07,"Canarias","ESCN",1,0,2447,161,4.94208538520184,283.766783279458,226.766783279458,0.00561593048798378,0.00554203772886362,0.00569080846952888,1.13422182218938e-05,0.00013177683329833,0.000105306929346931,2153389
"130",2020-06-08,"Canarias","ESCN",2,0,2449,161,9.8684261148428,268.741588189924,214.741588189924,0.00561156752338988,0.00553772461452473,0.00568639509212333,2.26122251911084e-05,0.000124799368897085,9.97226177852326e-05,2153389
"131",2020-06-09,"Canarias","ESCN",2,0,2451,161,9.85335308804131,263.691317048864,210.691317048864,0.00560757216155308,0.00553377430204291,0.00568235418192184,2.25432021519598e-05,0.000122454102370201,9.78417355381977e-05,2153389
"132",2020-06-10,"Canarias","ESCN",1,1,2452,162,4.95001471216188,263.684269636391,210.684269636391,0.00563643451054172,0.00556266915983541,0.00571117804758421,1.13786434548607e-05,0.000122450829662635,9.78384628306315e-05,2153389
"133",2020-06-11,"Canarias","ESCN",2,0,2454,162,9.88614994304164,263.677456851237,210.677456851237,0.00563312340692373,0.0055593938726453,0.00570783075359493,2.26935218616567e-05,0.000122447665912307,9.78352990803041e-05,2153389
"134",2020-06-12,"Canarias","ESCN",4,0,2458,162,19.7458449293921,263.552271852283,210.552271852283,0.00563475605620324,0.00556099953003513,0.00570949082830052,4.52656709929788e-05,0.00012238953196672,9.77771651347168e-05,2153389
"135",2020-06-13,"Canarias","ESCN",2,0,2460,162,9.86011462883594,258.444465018506,206.444465018506,0.00563202514430426,0.00555829875843889,0.00570672945169005,2.25741518354985e-05,0.000120017546768608,9.58695642164542e-05,2153389
"136",2020-06-14,"Canarias","ESCN",1,0,2461,162,4.92374879763752,253.346151894058,202.346151894058,0.00562710489882968,0.00555343733439324,0.005701749679668,1.12582084436379e-05,0.000117649970299866,9.39663720275612e-05,2153389
"137",2020-06-15,"Canarias","ESCN",1,0,2462,162,4.9175835146908,223.252049222371,178.252049222371,0.00562234255546432,0.00554873176872194,0.00569692988029696,1.12300321140113e-05,0.000103674742102969,8.27774495097594e-05,2153389
"138",2020-06-16,"Canarias","ESCN",3,0,2465,162,14.7349465767372,203.039606133471,162.039606133471,0.00562240005740675,0.00554878296274921,0.00569699384851506,3.36088294032181e-05,9.42884012751393e-05,7.52486458013256e-05,2153389
"139",2020-06-17,"Canarias","ESCN",14,0,2479,162,68.6830177399982,256.773133957996,204.773133957996,0.00564774876709143,0.00557379420188573,0.00572268458088951,0.000156476171343765,0.000119241406897684,9.50934243455298e-05,2153389
