"","countrycode","regioncode","provincecode","population","p_w_provs","p_m_provs","recent_p_w_provs","recent_p_m_provs","sumreach_provs","n_obs_provs","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs_rhs","p_m_regs_rhs","recent_p_w_regs_rhs","recent_p_m_regs_rhs","sumreach_regs_rhs1","sumreach_regs_rhs2","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","population_country","p_w_country_only","recent_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country"
"21","ES","ESCL","ESVA",519546,0.1,0.1,0,0,20,1,2399548,0.056969696969697,0.0638736263736264,0.000611620795107034,0.00114942528735632,1650,30,0.0285364785367911,0.0285364785367911,0.000856622768889389,0.000856622768889389,95,90,0.055421756711172,0.0619498274942571,0.000624293310992328,0.00113428032950458,47026208,0.106677202686685,0.00942507068803016,2531,30,0.0546484894730519,16661,0.00208483786211917,16661,0.0615099251308106,0.00305285210150958
"22","ES","ESCL","ESBU",356958,0,0,0,0,0,0,2399548,0.056969696969697,0.0638736263736264,0.000611620795107034,0.00114942528735632,1650,30,0.0285364785367911,0.0285364785367911,0.000856622768889389,0.000856622768889389,95,90,0.055421756711172,0.0619498274942571,0.000624293310992328,0.00113428032950458,47026208,0.106677202686685,0.00942507068803016,2531,30,0.0546484894730519,16661,0.00208483786211917,16661,0.0615099251308106,0.00305285210150958
"23","ES","ESCL","ESSO",88636,0.1,0.1,0.02,0.02,50,1,2399548,0.056969696969697,0.0638736263736264,0.000611620795107034,0.00114942528735632,1650,30,0.0285364785367911,0.0285364785367911,0.000856622768889389,0.000856622768889389,95,90,0.055421756711172,0.0619498274942571,0.000624293310992328,0.00113428032950458,47026208,0.106677202686685,0.00942507068803016,2531,30,0.0546484894730519,16661,0.00208483786211917,16661,0.0615099251308106,0.00305285210150958
"24","ES","ESCM","ESCU",196329,0,0,0,0,0,0,2032863,0.0740740740740741,0.0810727125608078,0,0,1998,30,0.0529135760650827,0.0554033954411422,0,0,740,740,0.0683550205581304,0.0741350592852225,0,0,47026208,0.106677202686685,0.00942507068803016,2531,30,0.0546484894730519,16661,0.00208483786211917,16661,0.0615099251308106,0.00305285210150958
"25","ES","ESCM","ESTO",694844,0.0558823529411765,0.0631666666666667,0,0,680,10,2032863,0.0740740740740741,0.0810727125608078,0,0,1998,30,0.0529135760650827,0.0554033954411422,0,0,740,740,0.0683550205581304,0.0741350592852225,0,0,47026208,0.106677202686685,0.00942507068803016,2531,30,0.0546484894730519,16661,0.00208483786211917,16661,0.0615099251308106,0.00305285210150958
"26","ES","ESCM","ESCR",495761,0,0,0,0,0,0,2032863,0.0740740740740741,0.0810727125608078,0,0,1998,30,0.0529135760650827,0.0554033954411422,0,0,740,740,0.0683550205581304,0.0741350592852225,0,0,47026208,0.106677202686685,0.00942507068803016,2531,30,0.0546484894730519,16661,0.00208483786211917,16661,0.0615099251308106,0.00305285210150958
"27","ES","ESCM","ESGU",257762,0.266666666666667,0.266666666666667,0,0,60,1,2032863,0.0740740740740741,0.0810727125608078,0,0,1998,30,0.0529135760650827,0.0554033954411422,0,0,740,740,0.0683550205581304,0.0741350592852225,0,0,47026208,0.106677202686685,0.00942507068803016,2531,30,0.0546484894730519,16661,0.00208483786211917,16661,0.0615099251308106,0.00305285210150958
"28","ES","ESCM","ESAB",388167,0,0,0,0,0,0,2032863,0.0740740740740741,0.0810727125608078,0,0,1998,30,0.0529135760650827,0.0554033954411422,0,0,740,740,0.0683550205581304,0.0741350592852225,0,0,47026208,0.106677202686685,0.00942507068803016,2531,30,0.0546484894730519,16661,0.00208483786211917,16661,0.0615099251308106,0.00305285210150958
"29","ES","ESCN","ESTF",1032983,0.00833333333333333,0.00833333333333333,0,0,120,4,2153389,0.0432242990654206,0.0565404702824058,0,0,1712,30,0.0346033285025531,0.035587086990166,0,0,290,290,0.0419755071257445,0.053505264910403,0,0,47026208,0.106677202686685,0.00942507068803016,2531,30,0.0546484894730519,16661,0.00208483786211917,16661,0.0615099251308106,0.00305285210150958
"30","ES","ESCN","ESGC",1120406,0.0588235294117647,0.0607142857142857,0,0,170,2,2153389,0.0432242990654206,0.0565404702824058,0,0,1712,30,0.0346033285025531,0.035587086990166,0,0,290,290,0.0419755071257445,0.053505264910403,0,0,47026208,0.106677202686685,0.00942507068803016,2531,30,0.0546484894730519,16661,0.00208483786211917,16661,0.0615099251308106,0.00305285210150958
