"date","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","cases_infect","cases_symptom","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","p_infect","p_symptom","population"
"2020/04/21",32,1,879,10,50.6999463731362,712.01652132241,217.01652132241,712.01652132241,1027.5817889922,5.41543844457965e-05,4.46225030944506e-05,6.57223855975898e-05,3.12357723239145e-06,2.76870890758696e-05,8.43878698998357e-06,2.76870890758696e-05,3.99579892777315e-05,25716554
"2020/04/22",37,3,916,13,71.0491493863384,701.852112165991,229.852112165991,701.852112165991,1074.63093837854,6.83974419407847e-05,5.8948757790359e-05,7.93606216551713e-05,5.30521841713343e-06,2.72918413628043e-05,8.93790482838372e-06,2.72918413628043e-05,4.17875170358572e-05,25716554
"2020/04/23",36,1,952,14,69.6328878862592,727.984707494757,255.984707494757,727.984707494757,1101.44869322346,7.16038017852007e-05,6.2364682816294e-05,8.22116652977629e-05,5.2373734264063e-06,2.83080193207362e-05,9.95408278631565e-06,2.83080193207362e-05,4.28303377358979e-05,25716554
"2020/04/24",52,0,1004,14,94.404963113981,746.172089895337,275.172089895337,746.172089895337,1161.95250083491,7.0878158097068e-05,6.17182138452594e-05,8.13975807502867e-05,6.66459153460221e-06,2.90152440290148e-05,1.07001929533536e-05,2.90152440290148e-05,4.51830560515579e-05,25716554
"2020/04/25",73,0,1077,14,124.76479097881,805.030619780176,302.030619780176,805.030619780176,1169.11351697965,7.1576772829629e-05,6.23136678470596e-05,8.22168648662858e-05,8.29179303716478e-06,3.13039849654886e-05,1.17445992095277e-05,3.13039849654886e-05,4.54615154495291e-05,25716554
"2020/04/26",34,0,1111,14,54.7885116931861,769.873002893864,284.873002893864,769.873002893864,1179.72831039716,6.96164498134385e-05,6.05956134370988e-05,7.99802132485688e-05,3.43310681785929e-06,2.99368649039783e-05,1.1077417405686e-05,2.99368649039783e-05,4.58742765612051e-05,25716554
"2020/04/27",39,0,1150,14,59.3126113072731,829.185614201137,305.185614201137,829.185614201137,1185.96943568826,6.80091747701062e-05,5.91863923436393e-05,7.81471495349205e-05,3.50765369431976e-06,3.22432630048776e-05,1.186728261497e-05,3.22432630048776e-05,4.61169655813239e-05,25716554
"2020/04/28",14,0,1164,14,20.1341990241002,809.833886770859,299.833886770859,809.833886770859,1124.8900761696,6.50948347568893e-05,5.66411555709848e-05,7.48102235787957e-05,1.12597281652588e-06,3.1490762205965e-05,1.16591782386886e-05,3.1490762205965e-05,4.37418666657127e-05,25716554
"2020/04/29",19,0,1183,14,25.9157410110678,791.920402729005,296.920402729005,791.920402729005,1107.30552462318,6.27454158333663e-05,5.45888929376183e-05,7.21206640442602e-05,1.37455109583201e-06,3.07941881610189e-05,1.1545886075133e-05,3.07941881610189e-05,4.30580833117523e-05,25716554
"2020/04/30",55,0,1238,14,71.4271850175432,799.206758818878,303.206758818878,799.206758818878,1102.51512892732,6.25185240969819e-05,5.43847078128394e-05,7.18688398348286e-05,3.60704538586338e-06,3.10775214602578e-05,1.17903339156124e-05,3.10775214602578e-05,4.28718065774799e-05,25716554
